"Route","Hostnames","PatternsToMatch","ForwardingProtocol","HttpsRedirect","RuleSet","OriginGroup","Origins"
"sh2-web-business-poste-it-route","sh2-web-business.poste.it","/*","HttpsOnly","Enabled","OnlyRM","sh2-web-business-poste-it-RM","62.241.11.140, 62.241.11.141"
"apppaycodice-mobile-poste-it-route","apppaycodice.mobile.poste.it","/*","HttpsOnly","Enabled","OnlyRM","apppaycodice-mobile-poste-it-RM","62.241.11.230, 62.241.11.231, 62.241.11.233, 62.241.11.234"
"appregistry-bs-mobile-poste-it-route","appregistry-bs.mobile.poste.it","/*","HttpsOnly","Enabled","OnlyRM","appregistry-bs-mobile-poste-it-RM","62.241.11.230, 62.241.11.231, 62.241.11.233, 62.241.11.234"
"oidc-proxy-bs-mobile-poste-it-route","oidc-proxy-bs.mobile.poste.it","/*","HttpsOnly","Enabled","OnlyRM","oidc-proxy-bs-mobile-poste-it-RM","62.241.11.230, 62.241.11.231, 62.241.11.233, 62.241.11.234"
"poste-impresa-it-route","poste-impresa.it","/*","HttpsOnly","Enabled","OnlyRM","poste-impresa-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27"
"postepay-business-poste-it-route","postepay.business.poste.it","/*","HttpsOnly","Enabled","OnlyRM","postepay-business-poste-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27"
"upload-business-poste-it-route","upload-business.poste.it","/*","HttpsOnly","Enabled","OnlyRM","upload-business-poste-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27"
"www-mypostedeliverybusiness-it-route","www.mypostedeliverybusiness.it","/*","HttpsOnly","Enabled","OnlyRM","www-mypostedeliverybusiness-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27"
"areatrasparenzabusiness-poste-it-route","areatrasparenzabusiness.poste.it","/*","HttpsOnly","Enabled","OnlyRM","areatrasparenzabusiness-poste-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27, 62.241.19.32, 62.241.19.46, 62.241.19.67"
"bancopostabusinesslink-poste-it-route","bancopostabusinesslink.poste.it","/*","HttpsOnly","Enabled","OnlyRM","bancopostabusinesslink-poste-it-RM","62.241.12.20, 62.241.12.21, 62.241.12.24, 62.241.12.25, 62.241.12.27, 62.241.13.20, 62.241.13.21, 62.241.13.24, 62.241.13.25, 62.241.13.27, 62.241.19.32, 62.241.19.46, 62.241.19.67"
